idx,Question_no,Set_no,Weak_checked,Strong_checked,Weakest,Strongest
67,Q68,1,0,0,9999,9999
68,Q69,1,0,0,9999,9999
69,Q70,1,0,0,9999,9999
70,Q71,1,0,0,9999,9999
71,Q72,1,0,0,9999,9999
72,Q73,1,0,0,9999,9999
73,Q74,1,0,0,9999,9999
74,Q75,1,0,0,9999,9999
75,Q76,1,0,0,9999,9999
76,Q77,1,0,0,9999,9999
77,Q78,1,0,0,9999,9999
78,Q79,1,0,0,9999,9999
79,Q80,1,0,0,9999,9999
80,Q81,1,0,0,9999,9999
81,Q82,1,0,0,9999,9999
82,Q83,1,0,0,9999,9999
83,Q84,1,0,0,9999,9999
84,Q85,1,0,0,9999,9999
85,Q86,1,0,0,9999,9999
86,Q87,1,0,0,9999,9999
87,Q88,1,0,0,9999,9999
88,Q89,1,0,0,9999,9999
89,Q90,1,0,0,9999,9999
90,Q91,1,0,0,9999,9999
91,Q92,1,0,0,9999,9999
92,Q93,1,0,0,9999,9999
93,Q94,1,0,0,9999,9999
94,Q95,1,0,0,9999,9999
95,Q96,1,0,0,9999,9999
96,Q97,1,0,0,9999,9999
97,Q98,1,0,0,9999,9999
98,Q99,1,0,0,9999,9999
99,Q100,1,0,0,9999,9999
100,Q101,1,0,0,9999,9999
101,Q102,1,0,0,9999,9999
102,Q103,1,0,0,9999,9999
103,Q104,1,0,0,9999,9999
104,Q105,1,0,0,9999,9999
105,Q106,1,0,0,9999,9999
106,Q107,1,0,0,9999,9999
107,Q108,1,0,0,9999,9999
108,Q109,1,0,0,9999,9999
109,Q110,1,0,0,9999,9999
110,Q111,1,0,0,9999,9999
111,Q112,1,0,0,9999,9999
112,Q113,1,0,0,9999,9999
113,Q114,1,0,0,9999,9999
114,Q115,1,0,0,9999,9999
115,Q116,1,0,0,9999,9999
116,Q117,1,0,0,9999,9999
117,Q118,1,0,0,9999,9999
118,Q119,1,0,0,9999,9999
119,Q120,1,0,0,9999,9999
120,Q121,1,0,0,9999,9999
121,Q122,1,0,0,9999,9999
122,Q123,1,0,0,9999,9999
123,Q124,1,0,0,9999,9999
124,Q125,1,0,0,9999,9999
125,Q126,1,0,0,9999,9999
126,Q127,1,0,0,9999,9999
127,Q128,1,0,0,9999,9999
128,Q129,1,0,0,9999,9999
129,Q130,1,0,0,9999,9999
130,Q131,1,0,0,9999,9999
131,Q132,1,0,0,9999,9999
132,Q133,1,0,0,9999,9999
133,Q134,1,0,0,9999,9999
134,Q135,1,0,0,9999,9999
135,Q136,1,0,0,9999,9999
136,Q137,1,0,0,9999,9999
137,Q138,1,0,0,9999,9999
138,Q139,1,0,0,9999,9999
139,Q140,1,0,0,9999,9999
140,Q141,1,0,0,9999,9999
141,Q142,1,0,0,9999,9999
142,Q143,1,0,0,9999,9999
143,Q144,1,0,0,9999,9999
144,Q145,1,0,0,9999,9999
145,Q146,1,0,0,9999,9999
146,Q147,1,0,0,9999,9999
147,Q148,1,0,0,9999,9999
148,Q149,1,0,0,9999,9999
149,Q150,1,0,0,9999,9999
150,Q151,1,0,0,9999,9999
151,Q152,1,0,0,9999,9999
152,Q153,1,0,0,9999,9999
153,Q154,1,0,0,9999,9999
154,Q155,1,0,0,9999,9999
155,Q156,1,0,0,9999,9999
156,Q157,1,0,0,9999,9999
157,Q158,1,0,0,9999,9999
158,Q159,1,0,0,9999,9999
159,Q160,1,0,0,9999,9999
160,Q161,1,0,0,9999,9999
161,Q162,1,0,0,9999,9999
162,Q163,1,0,0,9999,9999
163,Q164,1,0,0,9999,9999
164,Q165,1,0,0,9999,9999
165,Q166,1,0,0,9999,9999
166,Q167,1,0,0,9999,9999
167,Q168,1,0,0,9999,9999
168,Q169,1,0,0,9999,9999
169,Q170,1,0,0,9999,9999
170,Q171,1,0,0,9999,9999
171,Q172,1,0,0,9999,9999
172,Q173,1,0,0,9999,9999
173,Q174,1,0,0,9999,9999
174,Q175,1,0,0,9999,9999
